blinded_case_id,sample_bucket,assertion_id,gene,variant_identifier,baseline_condition_label,followup_condition_label,domain,CAB_regime,CAB_routing_action,reason_code,evidence_fields_shown_to_adjudicator,condition_label_drift,cross_environment_drift,semantic_drift_without_reclassification,conservative_composite_non_portability,identity_vs_meaning_discordance,recommended_adjudication_question,expected_expert_decision_category,endpoint_status_hidden_shown_flag
CABCASE_3AC41252CA,CAB direct-use,CANCER_831701,MSH6,CANCER_831701,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_6C3974AE63,CAB direct-use,CANCER_232547,CHEK2,CANCER_232547,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_2919B74687,CAB direct-use,CANCER_662776,ATM,CANCER_662776,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_FDE6EF6182,CAB direct-use,CANCER_984390,MSH2,CANCER_984390,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_8F93D69671,CAB direct-use,CANCER_657303,PALB2,CANCER_657303,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_CD7292F75D,CAB direct-use,CANCER_845797,STK11,CANCER_845797,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_DC5F1FDE18,CAB direct-use,CANCER_1323665,ATM,CANCER_1323665,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_8131FD8D56,CAB direct-use,CANCER_959858,CHEK2,CANCER_959858,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_8CA352B7F3,CAB direct-use,CANCER_1455576,ATM,CANCER_1455576,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_CE982E16C8,CAB direct-use,CM_217473,MYH7,CM_217473,,[hidden_for_adjudication],cardiomyopathy,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_2A75CEF185,CAB direct-use,CANCER_654771,STK11,CANCER_654771,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_11A6FAE7AC,CAB direct-use,CM_454357,MYH7,CM_454357,,[hidden_for_adjudication],cardiomyopathy,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_0D9C98BCC3,CAB direct-use,CANCER_1458151,PTEN,CANCER_1458151,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_8038C25E7D,CAB direct-use,CANCER_583455,APC,CANCER_583455,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_5192A6A982,CAB direct-use,CANCER_856141,PMS2,CANCER_856141,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_7590A136AD,CAB direct-use,CANCER_89935,MLH1,CANCER_89935,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_92C314C440,CAB direct-use,CANCER_225847,PALB2,CANCER_225847,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_AB30159B85,CAB direct-use,CANCER_833015,ATM,CANCER_833015,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_54FB2B7F8E,CAB direct-use,CANCER_455290,MSH6,CANCER_455290,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_8FDEFF6791,CAB direct-use,CANCER_1698671,PALB2,CANCER_1698671,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_0BE2A5359A,CAB direct-use,CANCER_1395121,PMS2,CANCER_1395121,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_AF88FE90C3,CAB direct-use,CANCER_644238,PALB2,CANCER_644238,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_75B9485B30,CAB direct-use,CANCER_417608,CHEK2,CANCER_417608,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_3FF52E655D,CAB direct-use,CANCER_89995,MLH1,CANCER_89995,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_C48CF8501E,CAB direct-use,ARR_1458716,KCNH2,ARR_1458716,,[hidden_for_adjudication],inherited_arrhythmia,syndrome_organ_boundary,direct_use,syndrome/developmental label crosses organ boundary,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_1EAF3950A7,CAB direct-use,CANCER_492661,APC,CANCER_492661,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_FD00262E09,CAB direct-use,CANCER_1069643,ATM,CANCER_1069643,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_AA015A0D33,CAB direct-use,CM_517190,MYBPC3,CM_517190,,[hidden_for_adjudication],cardiomyopathy,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_A8EF201DB4,CAB direct-use,CANCER_587356,MUTYH,CANCER_587356,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_789275FE91,CAB direct-use,CM_1696840,MYH7,CM_1696840,,[hidden_for_adjudication],cardiomyopathy,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_0F72B1248C,CAB direct-use,CANCER_1505744,TP53,CANCER_1505744,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_073732B808,CAB direct-use,CANCER_1067243,ATM,CANCER_1067243,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_0FDFE7152E,CAB direct-use,ARR_423015,KCNH2,ARR_423015,,[hidden_for_adjudication],inherited_arrhythmia,nonspecific_underresolved,direct_use,source identity accepted but phenotype label is broad/unknown/underresolved,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_84E3AA39EE,CAB direct-use,CM_1301741,MYBPC3,CM_1301741,,[hidden_for_adjudication],cardiomyopathy,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
