assertion_id,domain,gene,baseline_condition_proxy,followup_condition_proxy,baseline_env_proxy,followup_env_proxy,disease_architecture_regime,VCEP_covered_gene,VCEP_or_CSpec_resource,cab_balanced_direct_use_allowed,disease_specific_expert_review_required,population_or_penetrance_review_required,external_proxy_agreement_label
CANCER_236860,hereditary_cancer,BRCA2,"Hereditary breast ovarian cancer syndrome;not provided;Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary cancer-predisposing syndrome","Hereditary breast ovarian cancer syndrome;not provided;Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary cancer-predisposing syndrome;Inherited breast cancer and ovarian cancer",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_37532,hereditary_cancer,BRCA1,"Breast-ovarian cancer, familial, susceptibility to, 1","Breast-ovarian cancer, familial, susceptibility to, 1",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_51061,hereditary_cancer,BRCA2,"Familial cancer of breast;Breast-ovarian cancer, familial, susceptibility to, 2","Familial cancer of breast;Breast-ovarian cancer, familial, susceptibility to, 2",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_531379,hereditary_cancer,BRCA2,Hereditary breast ovarian cancer syndrome,Hereditary breast ovarian cancer syndrome,hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CM_42707,cardiomyopathy,MYBPC3,,not provided;Cardiovascular phenotype;Hypertrophic cardiomyopathy,HCM,HCM,nonspecific_underresolved,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,True,False,False,external_proxy_agrees_direct_use
CANCER_232556,hereditary_cancer,CHEK2,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome;Familial cancer of breast,pan-cancer / nonspecific cancer predisposition,breast cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,True,external_proxy_requires_disease_specific_interpretation
CANCER_1685418,hereditary_cancer,PTEN,Cowden syndrome 1,Cowden syndrome 1,PTEN hamartoma tumor syndrome / Cowden,PTEN hamartoma tumor syndrome / Cowden,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_51993,hereditary_cancer,BRCA2,"Hereditary cancer-predisposing syndrome;Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary breast ovarian cancer syndrome","Hereditary cancer-predisposing syndrome;Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary breast ovarian cancer syndrome",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_91207,hereditary_cancer,MSH2,Lynch syndrome,Lynch syndrome,Lynch syndrome / mismatch repair cancer predisposition,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_566121,hereditary_cancer,MSH6,Hereditary nonpolyposis colorectal neoplasms,Hereditary nonpolyposis colorectal neoplasms;Hereditary cancer-predisposing syndrome;Hereditary nonpolyposis colon cancer;Lynch syndrome 5,colorectal cancer / polyposis,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_requires_disease_specific_interpretation
CANCER_560019,hereditary_cancer,PMS2,Colon cancer,Colon cancer;Hereditary nonpolyposis colorectal neoplasms;Lynch syndrome;Hereditary cancer-predisposing syndrome;Hereditary nonpolyposis colon cancer;Lynch syndrome 4,pan-cancer / nonspecific cancer predisposition,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
ARR_1709048,inherited_arrhythmia,KCNQ1,long qt syndrome 1,long qt syndrome 1,LQTS,LQTS,syndrome_organ_boundary,True,ClinGen Potassium Channel Arrhythmia VCEP,True,False,False,external_proxy_agrees_direct_use
CANCER_1049561,hereditary_cancer,BRCA1,"Breast-ovarian cancer, familial, susceptibility to, 1","Breast-ovarian cancer, familial, susceptibility to, 1",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_453754,hereditary_cancer,ATM,Ataxia-telangiectasia syndrome,Ataxia-telangiectasia syndrome;Familial cancer of breast,syndromic cancer predisposition,breast cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,True,external_proxy_requires_disease_specific_interpretation
CANCER_860123,hereditary_cancer,BRCA1,Hereditary breast ovarian cancer syndrome,Hereditary breast ovarian cancer syndrome,hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_836354,hereditary_cancer,PMS2,Hereditary nonpolyposis colorectal neoplasms;Hereditary cancer-predisposing syndrome,Hereditary nonpolyposis colorectal neoplasms;Hereditary cancer-predisposing syndrome;Lynch syndrome 4,colorectal cancer / polyposis,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_583456,hereditary_cancer,MSH2,Hereditary nonpolyposis colorectal neoplasms,Hereditary nonpolyposis colorectal neoplasms,colorectal cancer / polyposis,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_420016,hereditary_cancer,ATM,not provided;Ataxia-telangiectasia syndrome;Hereditary cancer-predisposing syndrome,not provided;Ataxia-telangiectasia syndrome;Hereditary cancer-predisposing syndrome;Familial cancer of breast,pan-cancer / nonspecific cancer predisposition,breast cancer predisposition,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_1075938,hereditary_cancer,APC,Familial adenomatous polyposis 1,Familial adenomatous polyposis 1,colorectal cancer / polyposis,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_428133,hereditary_cancer,APC,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome;Familial adenomatous polyposis 1,pan-cancer / nonspecific cancer predisposition,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_665371,hereditary_cancer,CHEK2,Familial cancer of breast,Familial cancer of breast,breast cancer predisposition,breast cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,True,external_proxy_agrees_direct_use
CANCER_266660,hereditary_cancer,BRCA2,"Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary cancer-predisposing syndrome","Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary cancer-predisposing syndrome",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_1790625,hereditary_cancer,MSH2,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome;Hereditary nonpolyposis colorectal neoplasms;Lynch syndrome 1,pan-cancer / nonspecific cancer predisposition,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_52602,hereditary_cancer,BRCA2,"Breast-ovarian cancer, familial, susceptibility to, 2;not specified;Hereditary cancer-predisposing syndrome;not provided;Hereditary breast ovarian cancer syndrome","Breast-ovarian cancer, familial, susceptibility to, 2;not specified;Hereditary cancer-predisposing syndrome;not provided;Hereditary breast ovarian cancer syndrome;Familial cancer of breast",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_373884,hereditary_cancer,BRCA1,"Breast-ovarian cancer, familial, susceptibility to, 1","Breast-ovarian cancer, familial, susceptibility to, 1",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_230154,hereditary_cancer,APC,Hereditary cancer-predisposing syndrome;Familial adenomatous polyposis 1,Hereditary cancer-predisposing syndrome;Familial adenomatous polyposis 1,colorectal cancer / polyposis,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_1787659,hereditary_cancer,MSH2,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome,pan-cancer / nonspecific cancer predisposition,pan-cancer / nonspecific cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_1784637,hereditary_cancer,ATM,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome,pan-cancer / nonspecific cancer predisposition,pan-cancer / nonspecific cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,True,external_proxy_requires_disease_specific_interpretation
CM_43634,cardiomyopathy,TNNT2,,Primary dilated cardiomyopathy,DCM,DCM,phenotype_anchored_monogenic,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,True,False,False,external_proxy_agrees_direct_use
CANCER_531553,hereditary_cancer,BRCA1,Hereditary breast ovarian cancer syndrome,Hereditary breast ovarian cancer syndrome,hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_428529,hereditary_cancer,MSH2,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome,pan-cancer / nonspecific cancer predisposition,pan-cancer / nonspecific cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_1744476,hereditary_cancer,ATM,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome;Familial cancer of breast,pan-cancer / nonspecific cancer predisposition,breast cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,True,external_proxy_requires_disease_specific_interpretation
CM_849269,cardiomyopathy,MYH7,,Hypertrophic cardiomyopathy;not provided;Cardiovascular phenotype,HCM,HCM,nonspecific_underresolved,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,True,False,False,external_proxy_agrees_direct_use
CM_832649,cardiomyopathy,DSP,,Arrhythmogenic cardiomyopathy with wooly hair and keratoderma;Arrhythmogenic right ventricular dysplasia 8,ARVC/ACM,ARVC/ACM,structural_functional_overlap,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,False,True,False,external_proxy_requires_disease_specific_interpretation
ARR_495746,inherited_arrhythmia,KCNH2,cardiovascular phenotype;not provided,cardiovascular phenotype;not provided,other/unknown,other/unknown,nonspecific_underresolved,True,ClinGen Potassium Channel Arrhythmia VCEP,True,False,False,external_proxy_agrees_direct_use
CANCER_958618,hereditary_cancer,TP53,Li-Fraumeni syndrome,Li-Fraumeni syndrome,Li-Fraumeni syndrome,Li-Fraumeni syndrome,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CM_1734894,cardiomyopathy,MYBPC3,,Cardiovascular phenotype,other/unknown,other/unknown,phenotype_anchored_monogenic,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_998133,hereditary_cancer,CDH1,Colorectal cancer,Colorectal cancer,colorectal cancer / polyposis,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_266881,hereditary_cancer,BRCA2,"Breast-ovarian cancer, familial, susceptibility to, 2","Breast-ovarian cancer, familial, susceptibility to, 2",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_1396836,hereditary_cancer,APC,Familial adenomatous polyposis 1,Familial adenomatous polyposis 1,colorectal cancer / polyposis,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_52287,hereditary_cancer,BRCA2,"Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary cancer-predisposing syndrome;Hereditary breast ovarian cancer syndrome;not provided","Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary cancer-predisposing syndrome;Hereditary breast ovarian cancer syndrome;not provided;Familial cancer of breast",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_820435,hereditary_cancer,BRCA1,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome,pan-cancer / nonspecific cancer predisposition,pan-cancer / nonspecific cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_801688,hereditary_cancer,MSH2,Lynch syndrome 1,Lynch syndrome 1;Hereditary nonpolyposis colorectal neoplasms,Lynch syndrome / mismatch repair cancer predisposition,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_54841,hereditary_cancer,BRCA1,"Breast-ovarian cancer, familial, susceptibility to, 1;Hereditary breast ovarian cancer syndrome;not provided","Breast-ovarian cancer, familial, susceptibility to, 1;Hereditary breast ovarian cancer syndrome;not provided",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_836515,hereditary_cancer,MLH1,Hereditary nonpolyposis colorectal neoplasms,Hereditary nonpolyposis colorectal neoplasms,colorectal cancer / polyposis,colorectal cancer / polyposis,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_141444,hereditary_cancer,ATM,Hereditary cancer-predisposing syndrome;Ataxia-telangiectasia syndrome,Hereditary cancer-predisposing syndrome;Ataxia-telangiectasia syndrome;Familial cancer of breast,pan-cancer / nonspecific cancer predisposition,breast cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CM_66860,cardiomyopathy,LMNA,,"not provided;Primary dilated cardiomyopathy;Charcot-Marie-Tooth disease type 2;Cardiovascular phenotype;Dilated cardiomyopathy 1A;Hutchinson-Gilford syndrome;LMNA-related disorder;Congenital muscular dystrophy;Emery-Dreifuss muscular dystrophy 2, autosomal dominant",DCM,DCM,nonspecific_underresolved,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_639583,hereditary_cancer,BRCA2,Hereditary breast ovarian cancer syndrome,Hereditary breast ovarian cancer syndrome,hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_240758,hereditary_cancer,CHEK2,Familial cancer of breast;Breast carcinoma;Hereditary cancer-predisposing syndrome,Familial cancer of breast;Breast carcinoma;Hereditary cancer-predisposing syndrome,breast cancer predisposition,breast cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,True,external_proxy_agrees_direct_use
ARR_633647,inherited_arrhythmia,CACNA1C,long qt syndrome 8,long qt syndrome 8,LQTS,LQTS,syndrome_organ_boundary,True,ClinGen Sodium/Calcium Channel Arrhythmia VCEP or CPVT/calmodulinopathy scope,False,False,False,ambiguous
CANCER_217998,hereditary_cancer,APC,not provided;Familial adenomatous polyposis 1,not provided;Familial adenomatous polyposis 1,colorectal cancer / polyposis,colorectal cancer / polyposis,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_1454345,hereditary_cancer,MSH6,Hereditary nonpolyposis colorectal neoplasms,Hereditary nonpolyposis colorectal neoplasms;Lynch syndrome 5;Endometrial carcinoma,colorectal cancer / polyposis,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_requires_disease_specific_interpretation
CANCER_455468,hereditary_cancer,MSH2,Hereditary nonpolyposis colorectal neoplasms,Hereditary nonpolyposis colorectal neoplasms;Lynch syndrome 1,colorectal cancer / polyposis,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_requires_disease_specific_interpretation
CM_1705399,cardiomyopathy,FLNC,,Hypertrophic cardiomyopathy 26,HCM,HCM,structural_functional_overlap,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_419648,hereditary_cancer,BRCA1,"not provided;Breast-ovarian cancer, familial, susceptibility to, 1","not provided;Breast-ovarian cancer, familial, susceptibility to, 1;Hereditary breast ovarian cancer syndrome",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_90989,hereditary_cancer,MSH2,Lynch syndrome;Hereditary cancer-predisposing syndrome,Lynch syndrome;Hereditary cancer-predisposing syndrome,Lynch syndrome / mismatch repair cancer predisposition,Lynch syndrome / mismatch repair cancer predisposition,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_817074,hereditary_cancer,TP53,not provided;Hereditary cancer-predisposing syndrome;Li-Fraumeni syndrome 1;Li-Fraumeni syndrome,not provided;Hereditary cancer-predisposing syndrome;Li-Fraumeni syndrome 1;Li-Fraumeni syndrome,Li-Fraumeni syndrome,Li-Fraumeni syndrome,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CM_923177,cardiomyopathy,PKP2,,Cardiomyopathy;Arrhythmogenic right ventricular dysplasia 9;not provided,nonspecific cardiomyopathy,nonspecific cardiomyopathy,nonspecific_underresolved,True,ClinGen Inherited Cardiomyopathy VCEP/CSpec gene-level scope,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_427617,hereditary_cancer,PTEN,Cowden syndrome 1;PTEN hamartoma tumor syndrome;not provided,not provided;Cowden syndrome 1;PTEN hamartoma tumor syndrome;Hereditary cancer-predisposing syndrome,PTEN hamartoma tumor syndrome / Cowden,PTEN hamartoma tumor syndrome / Cowden,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
CANCER_267004,hereditary_cancer,BRCA2,"Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary breast ovarian cancer syndrome","Breast-ovarian cancer, familial, susceptibility to, 2;Hereditary breast ovarian cancer syndrome",hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_481454,hereditary_cancer,BRCA1,Hereditary cancer-predisposing syndrome;Hereditary breast ovarian cancer syndrome,Hereditary cancer-predisposing syndrome;Hereditary breast ovarian cancer syndrome,hereditary breast/ovarian cancer,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,False,external_proxy_requires_disease_specific_interpretation
CANCER_818508,hereditary_cancer,CHEK2,Hereditary cancer-predisposing syndrome,Hereditary cancer-predisposing syndrome;Familial cancer of breast;Hereditary breast ovarian cancer syndrome,pan-cancer / nonspecific cancer predisposition,hereditary breast/ovarian cancer,modifier_penetrance_boundary,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,False,True,True,external_proxy_requires_disease_specific_interpretation
CANCER_219743,hereditary_cancer,APC,"Desmoid disease, hereditary;not provided;Hereditary cancer-predisposing syndrome;Familial adenomatous polyposis 1","Desmoid disease, hereditary;not provided;Hereditary cancer-predisposing syndrome;Familial adenomatous polyposis 1",colorectal cancer / polyposis,colorectal cancer / polyposis,nonspecific_underresolved,True,ClinGen hereditary cancer / gene-specific expert curation scope candidate,True,False,False,external_proxy_agrees_direct_use
